L5E5,L5S5,L5R5,E5R5,E5S5,S5R5,S5S5,E5E5,R5R5
0.062184344,0.130327384,0.132974259,0.041883029,0.013505518,0.039283497,0.019868863,0.022844553,0.168928461
0.068199054,0.134237256,0.150802661,0.04253146,0.015903676,0.04473495,0.021130519,0.02611068,0.186806945
0.068057277,0.136966364,0.144632644,0.041138605,0.015370253,0.032805954,0.021843699,0.026285167,0.079761284
0.068798051,0.132519134,0.137030088,0.045001482,0.016436681,0.03356973,0.020557806,0.027309761,0.094255336
0.071482198,0.131567603,0.143073914,0.045477656,0.015716903,0.040577338,0.020973362,0.024689309,0.14844744
0.071267389,0.131308013,0.144432155,0.045211485,0.015461246,0.036689672,0.020663505,0.024256239,0.123113838
0.063703023,0.129982861,0.12368851,0.039532482,0.013345305,0.034556366,0.019450098,0.02178218,0.124745309
0.069055032,0.129972178,0.135654719,0.041768198,0.01552367,0.035403448,0.019972887,0.022863021,0.116227357
0.070300482,0.128795554,0.122035338,0.041166257,0.015081811,0.037870652,0.020204902,0.024520839,0.145201292
0.070718205,0.127792032,0.162280618,0.028003186,0.013020036,0.02764178,0.019705141,0.020295794,0.057811263
0.070895346,0.134620175,0.127133175,0.042467705,0.015447174,0.037780961,0.021157586,0.024441689,0.142861646
0.078078138,0.128819196,0.147145711,0.040188461,0.014074603,0.031792024,0.019521145,0.020662819,0.07450982
0.071051116,0.128989295,0.111566368,0.030848949,0.01436934,0.026822227,0.019823509,0.024024204,0.079055443
0.074846055,0.13267128,0.130439891,0.042107276,0.017232106,0.034438266,0.021169063,0.029536846,0.109979536
0.068262281,0.130418934,0.143339105,0.04872622,0.015385792,0.039148077,0.02051226,0.02192526,0.131278435
0.071411634,0.130902424,0.113682631,0.041279982,0.015324923,0.03836544,0.020450504,0.023812029,0.142681182
0.067326128,0.132661952,0.114757819,0.034291258,0.014519755,0.028433444,0.019902993,0.022136363,0.087481972
0.103047404,0.121408533,0.129904104,0.021666919,0.015710278,0.022719798,0.021983861,0.019789064,0.042556284
0.073775583,0.13501183,0.136317032,0.045212286,0.016344645,0.037330008,0.021740542,0.027920542,0.139032915
0.058714672,0.129049561,0.106145368,0.039300153,0.015069998,0.036653928,0.020605377,0.029579368,0.154253558
0.075599606,0.129171144,0.129453417,0.045249871,0.017190641,0.037292358,0.02138078,0.026411186,0.126879173
0.065572112,0.131569268,0.12393732,0.036553756,0.014897722,0.033098069,0.020079016,0.027365183,0.099063011
0.063008704,0.130493819,0.127613692,0.040244147,0.015659864,0.035067113,0.020241028,0.028188892,0.118725251
0.085589269,0.130933034,0.138111609,0.032106927,0.015934162,0.031406033,0.022604738,0.021326128,0.078833169
0.063781746,0.130945046,0.110838826,0.04037837,0.013828033,0.036592004,0.020182834,0.02361634,0.146787019
0.061482432,0.135897867,0.153077556,0.039541543,0.01466169,0.033944259,0.02112593,0.022279532,0.103505491
0.083752986,0.128609609,0.135474023,0.03977672,0.015449392,0.032216347,0.020085548,0.024467828,0.105450065
0.066888259,0.133628691,0.11988416,0.035557381,0.014250166,0.034250457,0.020770805,0.02299627,0.132978993
